"storm","city","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Rammasun","Manila","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","40203","14256","-64.0000","10561.8000","2536.9200","-8024.880000","-72.544915","72.5449","-75.9802","75.9802","-82.7262","82.7262",5,"337","6.3150","2128.1700","55","6.6839","-0.368900","0.368900","0.057088","0.060422","-0.003335","0.003335","367.6150","-1760.5550","1760.555000","-15.915400","15.915400","0.00838246","0.00385802","0.00452443","0.00452443","0.20149690","0.14490603","0.05659088","0.05659088"
"Rammasun","Manila","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","40203","14256","-64.0000","10561.8000","2536.9200","-8024.880000","-72.544915","72.5449","-75.9802","75.9802","1.7522","1.7522",6,"2","10.1273","20.2546","2","10.3047","-0.177400","0.177400","0.091551","0.093154","-0.001604","0.001604","20.6095","0.3549","0.354900","0.003200","0.003200","0.00004975","0.00014029","-0.00009054","0.00009054","0.00191772","0.00812383","-0.00620610","0.00620610"
"Lan","Tokyo","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","57718","11303","-80.0000","462060.0000","91848.9000","-370211.100000","-3346.708344","3346.7083","-80.1219","80.1219","-81.1969","81.1969",1,"6315","0.0432","272.8110","1281","0.0400","0.003200","0.003200","0.000391","0.000362","0.000029","0.000029","51.2968","-221.5142","221.514200","-2.002500","2.002500","0.10941128","0.11333274","-0.00392147","0.00392147","0.00059042","0.00055849","0.00003193","0.00003193"
"Lan","Tokyo","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","57718","11303","-80.0000","462060.0000","91848.9000","-370211.100000","-3346.708344","3346.7083","-80.1219","80.1219","-82.3425","82.3425",2,"10316","0.2595","2677.5100","1806","0.2618","-0.002300","0.002300","0.002346","0.002367","-0.000021","0.000021","472.7810","-2204.7290","2204.729000","-19.930700","19.930700","0.17873107","0.15978059","0.01895048","0.01895048","0.00579472","0.00514738","0.00064735","0.00064735"
"Lan","Tokyo","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","57718","11303","-80.0000","462060.0000","91848.9000","-370211.100000","-3346.708344","3346.7083","-80.1219","80.1219","-82.6903","82.6903",3,"4093","0.7181","2939.2500","711","0.7156","0.002500","0.002500","0.006492","0.006469","0.000023","0.000023","508.7740","-2430.4760","2430.476000","-21.971500","21.971500","0.07091375","0.06290365","0.00801010","0.00801010","0.00636119","0.00553925","0.00082194","0.00082194"
"Lan","Tokyo","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","57718","11303","-80.0000","462060.0000","91848.9000","-370211.100000","-3346.708344","3346.7083","-80.1219","80.1219","-79.8314","79.8314",4,"12647","2.7184","34379.0000","2543","2.7266","-0.008200","0.008200","0.024574","0.024648","-0.000074","0.000074","6933.7800","-27445.2200","27445.220000","-248.104500","248.104500","0.21911709","0.22498452","-0.00586743","0.00586743","0.07440376","0.07549116","-0.00108740","0.00108740"
"Lan","Tokyo","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","57718","11303","-80.0000","462060.0000","91848.9000","-370211.100000","-3346.708344","3346.7083","-80.1219","80.1219","-79.3549","79.3549",5,"8943","7.1963","64356.2000","1848","7.1896","0.006700","0.006700","0.065055","0.064994","0.000061","0.000061","13286.4000","-51069.8000","51069.800000","-461.670800","461.670800","0.15494300","0.16349642","-0.00855342","0.00855342","0.13928105","0.14465497","-0.00537393","0.00537393"
"Lan","Tokyo","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","57718","11303","-80.0000","462060.0000","91848.9000","-370211.100000","-3346.708344","3346.7083","-80.1219","80.1219","-80.2493","80.2493",6,"15404","23.2041","357435.0000","3114","22.6705","0.533600","0.533600","0.209765","0.204941","0.004824","0.004824","70596.0000","-286839.0000","286839.000000","-2593.028800","2593.028800","0.26688381","0.27550208","-0.00861826","0.00861826","0.77356837","0.76861018","0.00495818","0.00495818"
"Irma","Tampa","70","112.65","70 - Irma - Tampa","2017-09-11","2017","2097","513","-75.0000","38154.2000","8838.4500","-29315.750000","-265.014380","265.0144","-76.8349","76.8349","-80.9997","80.9997",1,"122","0.0200","2.4368","15","0.0309","-0.010900","0.010900","0.000181","0.000279","-0.000099","0.000099","0.4630","-1.9738","1.973800","-0.017800","0.017800","0.05817835","0.02923977","0.02893858","0.02893858","0.00006387","0.00005238","0.00001148","0.00001148"
"Irma","Tampa","70","112.65","70 - Irma - Tampa","2017-09-11","2017","2097","513","-75.0000","38154.2000","8838.4500","-29315.750000","-265.014380","265.0144","-76.8349","76.8349","-75.5747","75.5747",2,"48","0.3074","14.7552","15","0.2403","0.067100","0.067100","0.002779","0.002172","0.000607","0.000607","3.6040","-11.1512","11.151200","-0.100800","0.100800","0.02288984","0.02923977","-0.00634992","0.00634992","0.00038673","0.00040776","-0.00002104","0.00002104"
