"storm","city","wind","city_radius","cityimpactday","norm_gyration","storm_gyration","change_radius","norm_totaldisplacement","storm_totaldisplacement","norm_avgdisplacement","storm_avgdisplacement","centroid_change_km","norm_centroid","storm_centroid"
"Florence","Wilmington","60","20","2018-09-14","3.75","3.38","-0.37","242.66","488.96","28.19","32.60","1.22","0101000020E6100000B0269E4E007A53C048C0377ED51D4140","0101000020E61000009512E58C2B7953C09D36D021861D4140"
"Haiyan","Cebu City","140","20","2013-11-08","1.07","0.46","-0.61","1435.83","577.82","6.83","4.90","1.24","0101000020E6100000B268EE3F47FA5E409D58C6ECA4A22440","0101000020E6100000EC1AF8E79CF95E4033C150776DA02440"
"Haiyan","Tacloban","184","11","2013-11-08","0.83","0.00","-0.83","99.63","0.00","5.77","0.00","2.58","0101000020E6100000F15974C816405F407C9535AE6E702640","0101000020E610000000000060E23F5F4000000000AC642640"
"Harvey","Houston","100","42","2017-08-25","5.28","5.58","0.29","12079.34","12600.23","78.59","84.57","2.15","0101000020E6100000735ADD6A40DA57C0F08320C673C33D40","0101000020E6100000BC0D69AF8BDB57C054775C0E62C13D40"
"Irma","Tampa","70","40","2017-09-11","5.55","4.67","-0.88","4129.50","3986.38","83.34","117.25","1.52","0101000020E6100000DAD6E458DEA354C096560EBB77EF3B40","0101000020E6100000B36187CD28A354C0BD056FF208ED3B40"
"Kalmaegi","Calasiao","85","50","2014-09-14","1.49","0.99","-0.49","765.71","473.75","11.07","9.87","2.55","0101000020E6100000E2438F51691B5E4000FFBF84A3EC2F40","0101000020E610000089A888A10B1B5E400FED50E838E12F40"
"Lan","Hamamatsu","90","50","2017-10-23","3.76","3.90","0.13","1080.63","1086.91","23.56","26.51","0.71","0101000020E61000002A7B46622D346140825D4F207E614140","0101000020E6100000AEADA23BF1336140FBCC399435614140"
"Lan","Tokyo","55","50","2017-10-23","3.31","3.38","0.07","56768.05","52899.46","28.32","27.20","0.53","0101000020E6100000A0574562337661402E7A0CB9E5D44140","0101000020E61000003BD4D44652766140E5AAC3E95ED54140"
"Mangkhut","Hong Kong","135","36","2018-09-16","3.01","2.84","-0.17","620.40","470.23","19.62","18.81","1.69","0101000020E6100000BE4BA2527E885C40BD7178288E4F3640","0101000020E610000094D1DBE20A895C40542ACEAEDD523640"
"Maria","San Juan","70","20","2017-09-20","3.05","2.28","-0.77","254.63","306.44","22.38","25.54","2.32","0101000020E6100000B5703F51898650C013FDC6F4D66C3240","0101000020E6100000C1166C65248550C00CB6601B126C3240"
"Matthew","Jacksonville","115","50","2016-10-07","5.56","7.33","1.77","2561.38","3628.30","74.51","106.71","1.52","0101000020E6100000711F940B106754C0AAE3EAAB4A4C3E40","0101000020E6100000BB6D8B88BC6754C075859336B1493E40"
"Meranti","Taipei","95","50","2016-09-14","2.50","2.55","0.05","602.70","656.34","16.60","16.01","2.14","0101000020E6100000EDC814CE9E615E40D8EEE83FFF0A3940","0101000020E6100000BA69AE4F43605E40488C79BCC30A3940"
"Michael","Tampa","40","40","2018-10-10","7.75","6.54","-1.20","3395.79","4457.64","62.53","71.90","1.75","0101000020E6100000BF16909038A354C083F730B850EF3B40","0101000020E6100000DF2AF73C18A254C09BAF353EBAEE3B40"
"Phanfone","Hamamatsu","90","50","2014-10-06","2.01","1.39","-0.62","4938.49","4642.87","16.13","12.00","1.86","0101000020E6100000BDBCFD3B4F3561403E154689FD604140","0101000020E6100000903C3313F4356140D7C43C01A1604140"
"Rammasun","Antipolo","115","15","2014-07-16","0.84","0.52","-0.32","9262.68","9139.56","5.90","4.28","0.24","0101000020E6100000A6DD2BB00A435E405D39047FB2352D40","0101000020E6100000E4D592E1FF425E406804F061C4362D40"
"Rammasun","Manila","40","6","2014-07-16","0.33","0.18","-0.15","1474.83","1420.50","2.45","1.74","0.38","0101000020E61000008317A2D7C13F5E40F00206ED5F302D40","0101000020E610000004F640A3D43F5E40751602B303322D40"
