"storm","city","when","wind_mph","day","cityimpactday","count","dailydisplacement","step0","mean0","step1","mean1","step2","mean2","step3","mean3","step4","mean4","step5","mean5","step6","mean6","city_radius","dailymax","average"
"Michael","Tampa","Norm 5","","2018-09-24","2018-10-10","4440","41198","1966","0.0000","94","0.04","91","0.13","419","0.57","404","1.46","1428","4.86","39","11.58","40","14.07","1.86"
"Michael","Tampa","Storm","40","2018-10-10","2018-10-10","762","7036","347","0.0005","13","0.21","14","0.78","68","3.12","74","7.49","235","23.96","11","56.91","40","65.93","9.23"
"Mangkhut","Hong Kong","Norm 5","","2018-09-03","2018-09-16","2584","11635","926","0.0002","296","0.04","188","0.13","534","0.54","207","1.41","433","3.94","0","10.42","36","10.43","0.90"
"Mangkhut","Hong Kong","Storm","135","2018-09-16","2018-09-16","375","1531","188","0.0002","22","0.13","24","0.71","54","2.98","26","6.65","61","19.30","0","0.00","36","36.37","4.08"
"Florence","Wilmington","Norm 5","","2018-09-02","2018-09-14","831","2582","538","0.0000","9","0.04","27","0.13","50","0.65","50","1.57","156","2.56","0","0.00","20","6.78","0.62"
"Florence","Wilmington","Storm","60","2018-09-14","2018-09-14","223","747","134","0.0011","2","0.04","4","0.64","19","3.63","23","7.35","41","12.35","0","0.00","20","21.66","3.35"
"Lan","Hamamatsu","Norm 5","","2017-10-09","2017-10-23","2893","16409","1154","0.0002","281","0.03","143","0.13","490","0.55","304","1.44","493","4.47","28","12.02","50","16.97","1.13"
"Lan","Hamamatsu","Storm","90","2017-10-23","2017-10-23","418","2142","204","0.0010","27","0.14","22","0.70","64","2.54","27","7.43","71","22.25","3","59.98","50","79.56","5.12"
"Lan","Tokyo","Norm 5","","2017-10-09","2017-10-23","99899","703057","20311","0.0005","17176","0.04","7980","0.13","17896","0.55","13118","1.44","22808","4.52","610","11.64","50","19.40","1.41"
"Lan","Tokyo","Storm","55","2017-10-23","2017-10-23","13898","91849","3144","0.0022","2274","0.18","975","0.64","2543","2.73","1848","7.19","3044","21.90","70","56.28","50","81.26","6.61"
"Maria","San Juan","Norm 5","","2017-09-04","2017-09-20","1260","3221","854","0.0000","21","0.04","20","0.14","96","0.64","150","1.42","119","3.07","0","0.00","20","6.78","0.51"
"Maria","San Juan","Storm","70","2017-09-20","2017-09-20","237","516","156","0.0002","12","0.17","8","0.58","18","2.28","18","6.91","25","13.76","0","0.00","20","22.15","2.18"
"Irma","Tampa","Norm 5","","2017-09-04","2017-09-11","4062","44074","1683","0.0001","85","0.04","61","0.13","350","0.58","338","1.47","1486","4.98","61","11.50","40","14.63","2.17"
"Irma","Tampa","Storm","70","2017-09-11","2017-09-11","828","8780","328","0.0003","20","0.18","13","0.74","60","3.04","52","7.33","352","22.84","3","54.64","40","61.76","10.60"
"Harvey","Houston","Norm 5","","2017-08-14","2017-08-25","20001","188286","9167","0.0000","467","0.03","425","0.14","1674","0.56","1949","1.49","6035","5.05","285","11.52","42","16.06","1.88"
"Harvey","Houston","Storm","100","2017-08-25","2017-08-25","2998","28813","1336","0.0003","76","0.17","67","0.68","274","2.66","288","7.49","906","25.35","51","56.87","42","71.29","9.61"
"Matthew","Jacksonville","Norm 5","","2016-09-12","2016-10-07","1139","9472","551","0.0001","23","0.03","22","0.13","80","0.58","89","1.55","368","4.43","7","11.60","42","15.61","1.66"
"Matthew","Jacksonville","Storm","115","2016-10-07","2016-10-07","473","4094","240","0.0010","11","0.08","10","0.73","33","3.09","29","7.34","147","24.49","3","56.74","42","61.19","8.66"
"Meranti","Taipei","Norm 5","","2016-08-29","2016-09-14","2798","18200","873","0.0002","268","0.04","158","0.13","571","0.56","355","1.40","553","4.61","20","11.73","50","16.69","1.30"
"Meranti","Taipei","Storm","95","2016-09-14","2016-09-14","333","2055","111","0.0012","29","0.15","17","0.62","77","2.77","43","6.96","51","23.85","5","62.24","50","64.85","6.17"
"Phanfone","Hamamatsu","Norm 5","","2014-09-22","2014-10-06","25011","45366","14884","0.0012","3423","0.03","1340","0.13","2757","0.51","1259","1.42","1311","3.92","37","12.38","50","18.57","0.36"
"Phanfone","Hamamatsu","Storm","90","2014-10-06","2014-10-06","8150","6645","5684","0.0062","1164","0.12","378","0.65","577","2.38","171","6.99","171","19.77","5","54.87","50","68.09","0.82"
"Kalmaegi","Calasiao","Norm 5","","2014-09-01","2014-09-14","11831","5845","9506","0.0003","879","0.03","491","0.13","664","0.42","146","1.39","141","3.81","4","12.22","50","18.03","0.10"
"Kalmaegi","Calasiao","Storm","85","2014-09-14","2014-09-14","1389","747","1119","0.0016","92","0.15","70","0.65","85","2.01","7","6.88","14","25.67","2","53.57","50","54.77","0.54"
"Rammasun","Antipolo","Norm 4","","2014-07-01","2014-07-16","219097","136623","211286","0.0008","28979","0.04","9335","0.16","14352","0.66","7058","1.78","2863","3.29","0","0.00","15","6.73","0.12"
"Rammasun","Antipolo","Storm","115","2014-07-16","2014-07-16","44101","16514","32461","0.0037","6622","0.15","1951","0.62","2014","2.52","762","6.99","291","12.92","0","0.00","15","22.55","0.37"
"Rammasun","Manila","Norm 4","","2014-07-01","2014-07-16","92455","19555","92461","0.0010","14786","0.04","3362","0.15","4273","0.62","679","1.59","10","2.68","0","0.00","6","2.94","0.04"
"Rammasun","Manila","Storm","40","2014-07-16","2014-07-16","22245","2388","17378","0.0044","3646","0.14","699","0.60","473","2.23","47","6.45","2","10.29","0","0.00","6","10.31","0.11"
"Haiyan","Cebu City","Norm 5","","2013-10-21","2013-11-08","13940","14818","8467","0.0007","1529","0.03","695","0.13","2297","0.50","700","1.43","251","2.63","0","0.00","20","5.69","0.21"
"Haiyan","Cebu City","Storm","140","2013-11-08","2013-11-08","1534","1216","876","0.0040","239","0.18","141","0.66","211","2.26","45","6.99","22","12.96","0","0.00","20","20.09","0.79"
"Haiyan","Tacloban","Norm 5","","2013-10-21","2013-11-08","487","319","324","0.0006","49","0.04","35","0.13","66","0.56","13","1.40","1","2.30","0","0.00","11","2.81","0.13"
"Haiyan","Tacloban","Storm","184","2013-11-08","2013-11-08","13","13","8","0.0022","0","0.00","2","0.60","2","3.18","1","5.32","0","0.00","0","0.00","11","5.32","0.99"
