"storm","location","city","wind","city_radius","normaldays","normalstart","cityimpactday","day","days_after_storm","totaldisplacement","avgdisplacement","posts","radius_of_gyration","centroid"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"6.71200","0.95886","7","0.07714","0101000020E6100000254992E4F13F5F40499224C9F5682640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"20.53410","3.42235","6","0.47436","0101000020E61000005555559553405F40555555D59A692640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"8.46160","2.11540","4","1.02640","0101000020E610000000000048723F5F4000000058E8772640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"8.40248","2.80083","3","1.32151","0101000020E6100000000000E03F405F400000002062762640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"7.92551","2.64184","3","1.25004","0101000020E6100000ABAAAA0A42405F40ABAAAA8AE5752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"0.08910","0.04455","2","0.02630","0101000020E6100000000000900E405F40000000505A782640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"0.07477","0.03738","2","0.02237","0101000020E6100000000000608C3D5F40000000F03A812640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"0.21526","0.10763","2","0.05735","0101000020E61000000000004083405F4000000060626A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"0.09365","0.04683","2","0.02101","0101000020E610000000000040643F5F40000000906C512640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-27",-12,"13.07790","6.53894","2","2.09720","0101000020E6100000000000106F405F40000000C042762640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"3.35352","0.55892","6","0.12717","0101000020E6100000ABAAAA3ACA3F5F40000000308F692640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"3.40535","0.68107","5","0.26000","0101000020E6100000CDCCCC8C6C405F4066666646F6682640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"9.60846","2.40212","4","1.03196","0101000020E6100000000000F8893F5F40000000607D7C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"2.06897","0.68966","3","0.27921","0101000020E6100000ABAAAACA5B405F40000000000B6A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"0.82128","0.27376","3","0.05749","0101000020E610000000000060A13F5F40555555356E7F2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"11.15510","5.57755","2","2.78880","0101000020E6100000000000408C3F5F40000000D0845F2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"5.57158","2.78579","2","2.32731","0101000020E6100000000000A07B405F400000008022752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"5.05610","2.52805","2","1.86658","0101000020E61000000000009077405F40000000E006742640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"0.93015","0.46507","2","0.21413","0101000020E6100000000000B06F405F40000000E08B562640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"4.25006","2.12503","2","0.11144","0101000020E6100000000000800D405F40000000A0AC7C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"14.60990","7.30493","2","3.65349","0101000020E6100000000000901E3F5F40000000B0268B2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"0.06869","0.03435","2","0.01726","0101000020E6100000000000D05E3F5F40000000705F512640"
