"storm","city","wind_mph","wind_kmph","city_radius","year","normalstart","normaldays","cityimpactday","count","daily","daily_over_7.8m","daily_over_30m","dailydisplacement","gyration","gyration_normalized","step0","mean0","step1","mean1","step2","mean2","step3","mean3","step4","mean4","step5","mean5","step6","mean6","dailymax","count_i","daily_i","daily_over_7.8m_i","daily_over_30m_i","dailydisplacement_i","step0_i","mean0_i","step1_i","mean1_i","step2_i","mean2_i","step3_i","mean3_i","step4_i","mean4_i","step5_i","mean5_i","step6_i","mean6_i","dailymax_i","average_i","gyration_i","gyration_normalized_i","change_gyration_percent"
"Michael","Tampa","40","64.37","40","2018","2018-10-01","5","2018-10-10","3142","628","329","326","5275.48","7.0255","0.1756","303","0.0000","13","0.04","11","0.14","54","0.59","54","1.43","189","4.76","4","11.62","67.86","718","718","381","373","6016.53","345","0.0005","13","0.21","14","0.78","65","3.13","72","7.49","200","23.79","9","55.80","62.84","8.38","6.5447","0.1636","-6.8436"
"Mangkhut","Hong Kong","135","217.26","36","2018","2018-09-03","5","2018-09-16","1619","324","193","187","1364.61","3.0386","0.0844","137","0.0002","27","0.04","20","0.13","63","0.54","26","1.46","51","3.86","0","0.00","34.57","362","362","180","178","1412.42","184","0.0002","21","0.13","24","0.71","52","3.00","25","6.68","56","19.10","0","0.00","36.37","3.90","2.8359","0.0788","-6.6708"
"Florence","Wilmington","60","96.56","20","2018","2018-09-02","5","2018-09-14","594","119","42","41","359.80","3.8588","0.1929","77","0.0000","1","0.05","4","0.13","6","0.70","9","1.64","21","2.51","0","0.00","21.44","209","209","84","75","641.86","134","0.0011","2","0.04","3","0.64","16","3.66","19","7.39","35","12.59","0","0.00","21.66","3.07","3.3774","0.1689","-12.4754"
"Lan","Hamamatsu","90","144.84","50","2017","2017-10-09","5","2017-10-23","1948","390","217","207","2070.85","3.6751","0.0735","182","0.0002","38","0.03","18","0.13","51","0.56","36","1.41","60","4.50","5","12.72","83.68","416","416","221","212","2119.04","204","0.0010","27","0.14","22","0.70","64","2.54","26","7.39","70","22.36","3","59.98","79.56","5.09","3.8966","0.0779","6.0270"
"Lan","Tokyo","55","88.51","50","2017","2017-10-09","5","2017-10-23","69153","13831","11245","10892","90854.66","3.4135","0.0683","2938","0.0005","2511","0.04","1105","0.13","2474","0.54","1771","1.44","2955","4.45","76","11.65","91.32","13758","13758","10974","10626","90507.70","3132","0.0022","2269","0.17","952","0.64","2499","2.74","1838","7.19","2998","21.85","70","56.28","81.26","6.58","3.3766","0.0675","-1.0810"
"Maria","San Juan","70","112.65","20","2017","2017-09-11","5","2017-09-20","1093","219","81","78","549.58","3.2310","0.1615","140","0.0001","6","0.03","7","0.13","20","0.65","28","1.44","18","3.13","0","0.00","33.90","226","226","77","75","456.97","151","0.0002","12","0.17","8","0.58","17","2.27","17","6.92","21","14.01","0","0.00","22.15","2.02","2.2811","0.1141","-29.3996"
"Irma","Tampa","70","112.65","40","2017","2017-09-04","5","2017-09-11","2995","599","337","331","5610.27","5.7489","0.1437","268","0.0001","13","0.04","7","0.12","51","0.62","54","1.49","202","4.79","4","11.45","67.42","674","674","367","362","5538.90","312","0.0003","20","0.18","13","0.74","55","3.04","40","7.30","234","21.65","0","0.00","48.63","8.22","4.6673","0.1167","-18.8140"
"Harvey","Houston","100","160.93","42","2017","2017-08-14","5","2017-08-25","13315","2663","1295","1279","18404.08","5.2739","0.1256","1384","0.0000","58","0.03","54","0.14","228","0.56","279","1.50","647","4.58","14","11.44","76.73","2591","2591","1339","1321","19214.50","1270","0.0003","68","0.16","59","0.68","259","2.67","258","7.46","663","23.72","14","58.86","71.17","7.42","5.5762","0.1328","5.7320"
"Matthew","Jacksonville","115","185.07","50","2016","2016-09-26","5","2016-10-07","3480","696","228","223","3618.85","5.9783","0.1196","473","0.0000","11","0.03","9","0.13","31","0.57","33","1.57","135","4.47","4","12.62","78.94","527","527","273","262","4863.74","265","0.0008","15","0.07","10","0.74","34","3.13","34","7.46","157","24.06","12","59.83","85.33","9.23","7.3318","0.1466","22.6402"
"Meranti","Taipei","95","152.89","50","2016","2016-08-29","5","2016-09-14","1192","238","164","159","1342.32","3.4308","0.0686","80","0.0003","26","0.03","12","0.13","48","0.56","32","1.41","41","4.62","1","11.94","62.81","321","321","221","215","1915.03","106","0.0012","29","0.15","17","0.62","75","2.76","41","6.90","49","23.74","4","61.69","64.85","5.97","2.5490","0.0510","-25.7025"
"Phanfone","Hamamatsu","90","144.84","50","2014","2014-09-22","5","2014-10-06","19623","3925","2258","1587","6845.58","2.1108","0.0422","2338","0.0012","531","0.03","219","0.13","437","0.51","199","1.42","195","3.87","5","12.94","89.87","8114","8114","4174","2430","6389.26","5684","0.0062","1164","0.12","372","0.65","559","2.37","166","6.99","165","19.77","4","55.92","68.09","0.79","1.3872","0.0277","-34.2808"
"Kalmaegi","Calasiao","85","136.79","50","2014","2014-09-01","5","2014-09-14","11449","2290","594","451","1230.26","1.1162","0.0223","1838","0.0004","189","0.03","93","0.14","107","0.42","30","1.42","32","3.94","1","12.73","90.14","1374","1374","331","255","720.21","1119","0.0016","92","0.15","69","0.65","71","2.05","7","6.88","14","25.67","2","53.57","54.77","0.52","0.9937","0.0199","-10.9747"
"Rammasun","Antipolo","40","64.37","15","2014","2014-07-07","5","2014-07-16","164219","32844","11174","7569","16452.18","0.9162","0.0611","25275","0.0007","3555","0.03","1093","0.13","1719","0.52","854","1.43","348","2.63","0","0.00","26.07","44021","44021","16804","11560","16315.50","32461","0.0037","6601","0.15","1931","0.62","1988","2.51","753","6.99","287","12.94","0","0.00","22.55","0.37","0.5155","0.0344","-43.7350"
"Rammasun","Manila","40","64.37","6","2014","2014-07-07","5","2014-07-16","68601","13720","4841","2891","2552.75","0.3609","0.0602","10830","0.0008","1828","0.03","410","0.12","561","0.50","91","1.29","1","2.14","0","0.00","11.25","22214","22214","8272","4836","2356.38","17378","0.0044","3631","0.14","694","0.60","462","2.23","47","6.45","2","10.29","0","0.00","10.31","0.11","0.1813","0.0302","-49.7645"
"Haiyan","Cebu City","140","225.31","20","2013","2013-10-28","4","2013-11-08","11035","2759","1293","1003","2870.83","1.0235","0.0512","1756","0.0009","279","0.03","125","0.17","405","0.63","138","1.77","57","3.28","0","0.00","26.69","1531","1531","823","655","1207.78","876","0.0040","239","0.18","141","0.66","208","2.26","45","6.99","22","12.96","0","0.00","20.09","0.79","0.4589","0.0229","-55.1637"
"Haiyan","Tacloban","184","296.12","11","2013","2013-10-28","4","2013-11-08","889","222","99","80","153.50","0.6724","0.0611","143","0.0007","23","0.05","17","0.18","34","0.73","5","1.66","1","2.64","0","0.00","10.87","13","13","6","5","12.90","8","0.0022","0","0.00","2","0.60","2","3.18","1","5.32","0","0.00","0","0.00","5.32","0.99","0.0000","0.0000","-100.0000"
